Well,Sample,MOI,SPO1_Copy_copies_ul,Bacillus_Copy,Rep
E03,0.001_MOI_10pg,0.001,136.722641,369.260498,1
F03,0.001_MOI_10pg,0.001,143.506073,379.0819702,2
G03,0.001_MOI_10pg,0.001,153.3096161,386.0529785,3
E04,0.01_MOI_10pg,0.01,24.34787369,3.025562763,1
F04,0.01_MOI_10pg,0.01,25.0097847,3.596687078,2
G04,0.01_MOI_10pg,0.01,25.78395844,3.485026836,3
E05,0.1_MOI_10pg,0.1,100.8810654,159.4377594,1
F05,0.1_MOI_10pg,0.1,105.7756729,157.290802,2
G05,0.1_MOI_10pg,0.1,105.8186035,164.7623749,3
