Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),pg/µL,Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Copies/uL linked molecules,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Ch3+Ch4+,Ch3+Ch4-,Ch3-Ch4+,Ch3-Ch4-,Ch5+Ch6+,Ch5+Ch6-,Ch5-Ch6+,Ch5-Ch6-
B04,B1_MOI_1pg,,,,1,1022.43902587891,,OK,,DQ,Unknown,Unknown,,FAM,20448.78125,,,1040.8017578125,1004.34033203125,22942,12765,10177,235.387565511689,0.313782244920731,,,0.325703619426326,0.301860844798511,2,,1317.06237792969,,,,,2,0.156891116056209,,,0.162851809713163,0.150930422399256,13.561441857298,,,14.0068024950336,13.1160812195625,4308.43192864973,512.70870655019,2624.66088727117,,,,,1031.77429199219,1013.17248535156,,,0.319829468503756,0.307734995721081,,,0.159914734251878,0.153867497860541,,,13.7873552501665,13.3355284644296,No,12705,60,10108,69,0,0,0,0,0,0,0,0
B04,B1_MOI_1pg,,,,2,6516.8701171875,,OK,,DQ,Unknown,Unknown,,HEX,130337.40625,,,6754.4072265625,6317.14453125,22942,22813,129,235.387565511689,,,,,,,,2054.13598632813,,,,,,,,,,,,,,,,5603.82922113394,1381.59411337209,5580.08812058031,,,,,6632.45947265625,6411.015625,,,,,,,,,,,,,No,12705,60,10108,69,0,0,0,0,0,0,0,0
B05,C1_MOI_1pg,,,,1,280.489227294922,,OK,,DQ,Unknown,Unknown,,FAM,5609.78466796875,,,288.706481933594,272.325256347656,22634,4524,18110,229.140792690776,0.065504714846611,,,0.0697593239555018,0.061250100782011,2,,1260.85815429688,,,,,2,0.0327523561843782,,,0.0348796619777509,0.0306250503910055,3.17136591248124,,,3.37081751675525,2.97191430820722,4250.49503845161,512.179143420956,1259.37986397935,,,,,284.674987792969,276.317291259766,,,0.0676605613683809,0.0633488633691319,,,0.0338302806841904,0.031674431684566,,,3.27242978935479,3.07030203560769,No,4523,1,18086,24,0,0,0,0,0,0,0,0
B05,C1_MOI_1pg,,,,2,8563.9404296875,,OK,,DQ,Unknown,Unknown,,HEX,171278.8125,,,9093.3271484375,8099.62158203125,22634,22609,25,229.140792690776,,,,,,,,1515.08435058594,,,,,,,,,,,,,,,,5679.87545195549,1394.65268066406,5675.14228197748,,,,,8823.60546875,8320.96875,,,,,,,,,,,,,No,4523,1,18086,24,0,0,0,0,0,0,0,0
B06,D1_MOI_1pg,,,,1,4459.01611328125,,OK,,DQ,Unknown,Unknown,,FAM,89180.3203125,,,4565.13232421875,4361.16015625,19743,19173,570,0,,,,,,,,1672.82629394531,,,,,,,,,,,,,,,,4533.00603105528,531.328716987476,4417.47363633215,,,,,4512.0380859375,4408.13916015625,,,,,,,,,,,,,No,0,19173,0,570,0,0,0,0,0,0,0,0
B06,D1_MOI_1pg,,,,2,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,Unknown,Unknown,,HEX,,,,,,19743,0,19743,0,,,,,,,,,,,,,,,,,,,,,,,,,5742.90161609519,5742.90161609519,,,,,,,,,,,,,,,,,,,No,0,19173,0,570,0,0,0,0,0,0,0,0
B07,E1_MOI_1pg,,,,1,12.2032089233398,,OK,,DQ,Unknown,Unknown,,FAM,244.064178466797,,,13.8914127349854,10.5172662734985,20819,201,20618,0,,,,,,,,972.108154296875,,,,,,,,,,,,,,,,4358.94395940221,518.899879377859,555.974131747564,,,,,13.0642538070679,11.3427505493164,,,,,,,,,,,,,No,0,201,0,20618,0,0,0,0,0,0,0,0
B07,E1_MOI_1pg,,,,2,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,Unknown,Unknown,,HEX,,,,,,20819,0,20819,0,,,,,,,,,,,,,,,,,,,,,,,,,5842.36110671095,5842.36110671095,,,,,,,,,,,,,,,,,,,No,0,201,0,20618,0,0,0,0,0,0,0,0
B08,F1_MOI_1pg,,,,1,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,Unknown,Unknown,,FAM,,,,,,22274,0,22274,0,,,,,,,,,,,,,,,,,,,,,,,,,4617.5313057685,4617.5313057685,,,,,,,,,,,,,,,,,,,No,0,0,22038,236,0,0,0,0,0,0,0,0
B08,F1_MOI_1pg,,,,2,5719.92919921875,,OK,,DQ,Unknown,Unknown,,HEX,114398.5859375,,,5890.63818359375,5569.64306640625,22274,22038,236,0,,,,,,,,1572.93322753906,,,,,,,,,,,,,,,,5583.41957149476,1376.02093971382,5538.8408664081,,,,,5804.13037109375,5641.01220703125,,,,,,,,,,,,,No,0,0,22038,236,0,0,0,0,0,0,0,0
B09,G1_MOI_1pg,,,,1,6.23859453201294,,OK,,DQ,Unknown,Unknown,,FAM,124.77188873291,,,7.44399929046631,5.03434419631958,20819,103,20716,0,,,,,,,,711.082763671875,,,,,,,,,,,,,,,,4338.79309496833,525.181063709307,544.048542417203,,,,,6.85345220565796,5.62403726577759,,,,,,,,,,,,,No,0,103,0,20716,0,0,0,0,0,0,0,0
B09,G1_MOI_1pg,,,,2,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,Unknown,Unknown,,HEX,,,,,,20819,0,20819,0,,,,,,,,,,,,,,,,,,,,,,,,,5889.93237149307,5889.93237149307,,,,,,,,,,,,,,,,,,,No,0,103,0,20716,0,0,0,0,0,0,0,0
C01,Positive_Control,,,,1,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,,,,,22924,0,22924,0,,,,,,,,,,,,,,,,,,,,,,,,,1657.77581754094,1657.77581754094,,,,,,,,,,,,,,,,,,,No,0,0,0,22924,0,0,0,0,0,0,0,0
C01,Positive_Control,,,,2,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),HEX,,,,,,22924,0,22924,0,,,,,,,,,,,,,,,,,,,,,,,,,5669.20034741582,5669.20034741582,,,,,,,,,,,,,,,,,,,No,0,0,0,22924,0,0,0,0,0,0,0,0
C02,NTC,,,,1,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,NTC,Unknown,,FAM,,,,,,21935,0,21935,0,,,,,,,,,,,,,,,,,,,,,,,,,479.671449783774,479.671449783774,,,,,,,,,,,,,,,,,,,No,0,0,8,21927,0,0,0,0,0,0,0,0
C02,NTC,,,,2,0.458843320608139,,OK,,DQ,NTC,Unknown,,HEX,9.17686653137207,,,0.85926353931427,0.207720592617989,21935,8,21927,0,,,,,,,,1551.404296875,,,,,,,,,,,,,,,,1999.68264770508,1401.91195032229,1402.12996562108,,,,,0.641796410083771,0.314519077539444,,,,,,,,,,,,,No,0,0,8,21927,0,0,0,0,0,0,0,0
C03,A2_MOI_1pg,,,,1,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,Unknown,Unknown,,FAM,,,,,,21910,0,21910,0,,,,,,,,,,,,,,,,,,,,,,,,,4664.30107448618,4664.30107448618,,,,,,,,,,,,,,,,,,,No,0,0,21361,549,0,0,0,0,0,0,0,0
C03,A2_MOI_1pg,,,,2,4637.232421875,,OK,,DQ,Unknown,Unknown,,HEX,92744.6484375,,,4745.66943359375,4537.40625,21910,21361,549,0,,,,,,,,2382.70239257813,,,,,,,,,,,,,,,,5620.1044379099,1401.27677475559,5514.39305556979,,,,,4691.38916015625,4585.3115234375,,,,,,,,,,,,,No,0,0,21361,549,0,0,0,0,0,0,0,0
C04,B2_MOI_1pg,,,,1,1701.09301757813,,OK,,DQ,Unknown,Unknown,,FAM,34021.859375,,,1729.3515625,1673.45520019531,22314,16543,5771,243.880158828756,0.979652583599091,,,1.0037505929901,0.955554541313449,2,,,,,,,2,0.489826283575886,,,0.501875296495048,0.477777270656725,32.8780804162082,,,33.4209308714189,32.3352299609975,4455.53826236131,518.364164794964,3437.2792448362,,,,,1715.43127441406,1686.91625976563,,,0.991942501749785,0.96736263255376,,,0.495971250874893,0.48368131627688,,,33.1549328287586,32.6012280036579,No,15575,968,5328,443,0,0,0,0,0,0,0,0
C04,B2_MOI_1pg,,,,2,3472.849609375,,OK,,DQ,Unknown,Unknown,,HEX,69456.9921875,,,3538.03442382813,3410.87719726563,22314,20903,1411,243.880158828756,,,,,,,,,,,,,,,,,,,,,,,,5654.43353279368,1400.93641226787,5385.46855846985,,,,,3505.68505859375,3440.84985351563,,,,,,,,,,,,,No,15575,968,5328,443,0,0,0,0,0,0,0,0
C05,C2_MOI_1pg,,,,1,6281.15673828125,,OK,,DQ,Unknown,Unknown,,FAM,125623.1328125,,,6496.58935546875,6097.2822265625,22708,22554,154,0,2.03546762466431,,,2.12575865581681,1.945176802173,2,,1722.78894042969,,,,,2,1.01773386449745,,,1.0628793279084,0.972588401086501,50.4394500387163,,,51.5483346316113,49.3305654458213,4563.38819754681,543.59572036545,4536.12696619724,,,,,6386.46142578125,6183.9912109375,,,2.08126187011439,1.98967358787542,,,1.0406309350572,0.994836793937708,,,51.0018589021498,49.8770411752828,No,22387,167,153,1,0,0,0,0,0,0,0,0
C05,C2_MOI_1pg,,,,2,6171.70849609375,,OK,,DQ,Unknown,Unknown,,HEX,123434.171875,,,6377.107421875,5995.189453125,22708,22540,168,0,,,,,,,,2415.78100585938,,,,,,,,,,,,,,,,5664.49301070016,1383.21159871419,5632.81891887289,,,,,6272.3134765625,6078.55810546875,,,,,,,,,,,,,No,22387,167,153,1,0,0,0,0,0,0,0,0
C06,D2_MOI_1pg,,,,1,83.7588500976563,,OK,,DQ,Unknown,Unknown,,FAM,1675.17700195313,,,88.259147644043,79.2746047973633,20739,1336,19403,0,,,,,,,,1234.83459472656,,,,,,,,,,,,,,,,4327.17006157972,521.720879756709,766.866745368144,,,,,86.0529098510742,81.4689788818359,,,,,,,,,,,,,No,0,1336,0,19403,0,0,0,0,0,0,0,0
C06,D2_MOI_1pg,,,,2,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,Unknown,Unknown,,HEX,,,,,,20739,0,20739,0,,,,,,,,,,,,,,,,,,,,,,,,,5840.75525973601,5840.75525973601,,,,,,,,,,,,,,,,,,,No,0,1336,0,19403,0,0,0,0,0,0,0,0
C07,E2_MOI_1pg,,,,1,14.8099384307861,,OK,,DQ,Unknown,Unknown,,FAM,296.198760986328,,,16.6969013214111,12.9258012771606,20248,237,20011,14.8099381296303,0.00295459176413715,,,0.0034248535972284,0.00248432977339278,2,,1207.00317382813,,,,,2,0.00147729584265529,,,0.0017124267986142,0.00124216488669639,0.14751166589476,,,0.170955443536387,0.124067888253133,4304.05115312665,518.168094033572,562.481324229397,,,,,15.7723197937012,13.8482904434204,,,0.00319311950542483,0.00271606386519635,,,0.00159655975271242,0.00135803193259817,,,0.159402897215824,0.135620434573696,No,237,0,20004,7,0,0,0,0,0,0,0,0
C07,E2_MOI_1pg,,,,2,10025.0322265625,,OK,,DQ,Unknown,Unknown,,HEX,200500.640625,,,11101.765625,9186.6552734375,20248,20241,7,14.8099381296303,,,,,,,,1499.04895019531,,,,,,,,,,,,,,,,5786.18109569,1393.04961286272,5784.66233233659,,,,,10536.0400390625,9574.8759765625,,,,,,,,,,,,,No,237,0,20004,7,0,0,0,0,0,0,0,0
C08,F2_MOI_1pg,,,,1,1136.3505859375,,OK,,DQ,Unknown,Unknown,,FAM,22727.01171875,,,1156.96276855469,1116.07080078125,21348,12698,8650,0,,,,,,,,1350.94799804688,,,,,,,,,,,,,,,,4358.72978511587,512.675710456275,2800.34643558404,,,,,1146.82470703125,1125.962890625,,,,,,,,,,,,,No,0,12698,0,8650,0,0,0,0,0,0,0,0
C08,F2_MOI_1pg,,,,2,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,Unknown,Unknown,,HEX,,,,,,21348,0,21348,0,,,,,,,,,,,,,,,,,,,,,,,,,5726.56943097828,5726.56943097828,,,,,,,,,,,,,,,,,,,No,0,12698,0,8650,0,0,0,0,0,0,0,0
C09,G2_MOI_1pg,,,,1,15.6752300262451,,OK,,DQ,Unknown,Unknown,,FAM,313.504608154297,,,17.5675640106201,13.785740852356,21317,264,21053,0,,,,,,,,1005.30902099609,,,,,,,,,,,,,,,,4432.67067695387,526.468717532764,574.845004875597,,,,,16.6403503417969,14.7108497619629,,,,,,,,,,,,,No,0,264,0,21053,0,0,0,0,0,0,0,0
C09,G2_MOI_1pg,,,,2,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,Unknown,Unknown,,HEX,,,,,,21317,0,21317,0,,,,,,,,,,,,,,,,,,,,,,,,,5955.68831096559,5955.68831096559,,,,,,,,,,,,,,,,,,,No,0,264,0,21053,0,0,0,0,0,0,0,0
D01,Positive_Control,,,,1,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,,,,,20853,0,20853,0,,,,,,,,,,,,,,,,,,,,,,,,,4694.04986804956,4694.04986804956,,,,,,,,,,,,,,,,,,,No,0,0,0,20853,0,0,0,0,0,0,0,0
D01,Positive_Control,,,,2,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),HEX,,,,,,20853,0,20853,0,,,,,,,,,,,,,,,,,,,,,,,,,5716.17725014461,5716.17725014461,,,,,,,,,,,,,,,,,,,No,0,0,0,20853,0,0,0,0,0,0,0,0
D02,NTC,,,,1,0.287032306194305,,OK,,DQ,NTC,Unknown,,FAM,5.74064636230469,,,0.623804688453674,0.100913092494011,21914,5,21909,0,,,,,,,,565.110290527344,,,,,,,,,,,,,,,,1315.84354248047,476.505441316635,476.696948595353,,,,,0.437176257371902,0.17600043118,,,,,,,,,,,,,No,0,5,0,21909,0,0,0,0,0,0,0,0
D02,NTC,,,,2,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,NTC,Unknown,,HEX,,,,,,21914,0,21914,0,,,,,,,,,,,,,,,,,,,,,,,,,1395.00730093437,1395.00730093437,,,,,,,,,,,,,,,,,,,No,0,5,0,21909,0,0,0,0,0,0,0,0
D03,A3_MOI_1pg,,,,1,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,Unknown,Unknown,,FAM,,,,,,21355,0,21355,0,,,,,,,,,,,,,,,,,,,,,,,,,4675.24546018479,4675.24546018479,,,,,,,,,,,,,,,,,,,No,0,0,21147,208,0,0,0,0,0,0,0,0
D03,A3_MOI_1pg,,,,2,5825.7900390625,,OK,,DQ,Unknown,Unknown,,HEX,116515.796875,,,6008.55810546875,5666.23974609375,21355,21147,208,0,,,,,,,,1609.16882324219,,,,,,,,,,,,,,,,5607.64076375851,1376.61376131498,5566.43010505992,,,,,5915.720703125,5741.86181640625,,,,,,,,,,,,,No,0,0,21147,208,0,0,0,0,0,0,0,0
D04,B3_MOI_1pg,,,,1,482.624145507813,,OK,,DQ,Unknown,Unknown,,FAM,9652.482421875,,,493.942474365234,471.406799316406,22391,7135,15256,0,0.137384116649628,,,0.143555117074205,0.131213125273228,2,,1339.31652832031,,,,,2,0.0686920605868583,,,0.0717775585371026,0.065606562636614,6.42767576556496,,,6.69783517375445,6.15751635737548,4352.3895708155,522.751899319165,1743.08438943244,,,,,488.386077880859,476.888549804688,,,0.140517705741787,0.134250536605646,,,0.0702588528708935,0.0671252683028231,,,6.56486064885982,6.2904908822701,No,7106,29,15201,55,0,0,0,0,0,0,0,0
D04,B3_MOI_1pg,,,,2,7025.90869140625,,OK,,DQ,Unknown,Unknown,,HEX,140518.171875,,,7305.13330078125,6765.91552734375,22391,22307,84,0,,,,,,,,1954.88928222656,,,,,,,,,,,,,,,,5755.81984875649,1408.73579188756,5739.51173117456,,,,,7165.0439453125,6891.7138671875,,,,,,,,,,,,,No,7106,29,15201,55,0,0,0,0,0,0,0,0
