Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),pg/µL,Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Copies/uL linked molecules,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Ch3+Ch4+,Ch3+Ch4-,Ch3-Ch4+,Ch3-Ch4-,Ch5+Ch6+,Ch5+Ch6-,Ch5-Ch6+,Ch5-Ch6-
A01,Positive_Control,,,,1,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,,,,,19888,0,19888,0,,,,,,,,,,,,,,,,,,,,,,,,,1631.33540608781,1631.33540608781,,,,,,,,,,,,,,,,,,,No,0,0,0,19888,0,0,0,0,0,0,0,0
A01,Positive_Control,,,,2,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),HEX,,,,,,19888,0,19888,0,,,,,,,,,,,,,,,,,,,,,,,,,5589.63537155728,5589.63537155728,,,,,,,,,,,,,,,,,,,No,0,0,0,19888,0,0,0,0,0,0,0,0
A02,NTC,,,,1,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,NTC,Unknown,,FAM,,,,,,21525,0,21525,0,,,,,,,,,,,,,,,,,,,,,,,,,479.098479972246,479.098479972246,,,,,,,,,,,,,,,,,,,No,0,0,28,21497,0,0,0,0,0,0,0,0
A02,NTC,,,,2,1.63730800151825,,OK,,DQ,NTC,Unknown,,HEX,32.7461585998535,,,2.32379841804504,1.10167372226715,21525,28,21497,0,,,,,,,,1543.73388671875,,,,,,,,,,,,,,,,1692.90663800921,1399.75410930681,1400.13544592952,,,,,1.96596193313599,1.34758317470551,,,,,,,,,,,,,No,0,0,28,21497,0,0,0,0,0,0,0,0
A03,H2O,,,,1,16.5233097076416,,OK,,DQ,NTC,Unknown,,FAM,330.466186523438,,,18.4265155792236,14.6229791641235,22222,290,21932,0.0187970528554444,2.83473539352417,,,3.34172324675351,2.32774732314278,2,,,,,,,2,1.41736764247407,,,1.67086162337676,1.16387366157139,58.6326886142754,,,62.9706156462083,54.2947615823425,1528.77316010574,204.5048210917,221.78669573458,,,,,17.4939727783203,15.553394317627,,,3.09340252377683,2.57606804611947,,,1.54670126188841,1.28803402305974,,,60.8459159335093,56.4194612950415,No,3,287,202,21730,0,0,0,0,0,0,0,0
A03,H2O,,,,2,11.6577444076538,,OK,,DQ,NTC,Unknown,,HEX,233.154891967773,,,13.2546186447144,10.062894821167,22222,205,22017,0.0187970528554444,,,,,,,,,,,,,,,,,,,,,,,,5427.36596322409,1410.4838120195,1447.53992042545,,,,,12.4722232818604,10.8437929153442,,,,,,,,,,,,,No,3,287,202,21730,0,0,0,0,0,0,0,0
A04,H2O,,,,1,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,NTC,Unknown,,FAM,,,,,,22242,0,22242,0,,,,,,,,,,,,,,,,,,,,,,,,,471.673151336442,471.673151336442,,,,,,,,,,,,,,,,,,,No,0,0,0,22242,0,0,0,0,0,0,0,0
A04,H2O,,,,2,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,NTC,Unknown,,HEX,,,,,,22242,0,22242,0,,,,,,,,,,,,,,,,,,,,,,,,,1385.08596748247,1385.08596748247,,,,,,,,,,,,,,,,,,,No,0,0,0,22242,0,0,0,0,0,0,0,0
A05,H2O,,,,1,0.434440910816193,,OK,,DQ,NTC,Unknown,,FAM,8.68881797790527,,,0.846181154251099,0.184556990861893,20271,7,20264,0,,,,,,,,559.610534667969,,,,,,,,,,,,,,,,1090.65511648996,469.432098915772,469.646620208408,,,,,0.621420800685883,0.289383053779602,,,,,,,,,,,,,No,0,7,0,20264,0,0,0,0,0,0,0,0
A05,H2O,,,,2,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,NTC,Unknown,,HEX,,,,,,20271,0,20271,0,,,,,,,,,,,,,,,,,,,,,,,,,1380.89108809759,1380.89108809759,,,,,,,,,,,,,,,,,,,No,0,7,0,20264,0,0,0,0,0,0,0,0
A06,H2O,,,,1,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,NTC,Unknown,,FAM,,,,,,21842,0,21842,0,,,,,,,,,,,,,,,,,,,,,,,,,486.435309837725,486.435309837725,,,,,,,,,,,,,,,,,,,No,0,0,0,21842,0,0,0,0,0,0,0,0
A06,H2O,,,,2,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,NTC,Unknown,,HEX,,,,,,21842,0,21842,0,,,,,,,,,,,,,,,,,,,,,,,,,1425.26198058473,1425.26198058473,,,,,,,,,,,,,,,,,,,No,0,0,0,21842,0,0,0,0,0,0,0,0
A07,H2O,,,,1,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,NTC,Unknown,,FAM,,,,,,22378,0,22378,0,,,,,,,,,,,,,,,,,,,,,,,,,481.674846479044,481.674846479044,,,,,,,,,,,,,,,,,,,No,0,0,0,22378,0,0,0,0,0,0,0,0
A07,H2O,,,,2,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,NTC,Unknown,,HEX,,,,,,22378,0,22378,0,,,,,,,,,,,,,,,,,,,,,,,,,1429.29961699989,1429.29961699989,,,,,,,,,,,,,,,,,,,No,0,0,0,22378,0,0,0,0,0,0,0,0
A08,H2O,,,,1,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,NTC,Unknown,,FAM,,,,,,21330,0,21330,0,,,,,,,,,,,,,,,,,,,,,,,,,475.543845069481,475.543845069481,,,,,,,,,,,,,,,,,,,No,0,0,0,21330,0,0,0,0,0,0,0,0
A08,H2O,,,,2,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,NTC,Unknown,,HEX,,,,,,21330,0,21330,0,,,,,,,,,,,,,,,,,,,,,,,,,1408.14339222468,1408.14339222468,,,,,,,,,,,,,,,,,,,No,0,0,0,21330,0,0,0,0,0,0,0,0
A09,H2O,,,,1,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,NTC,Unknown,,FAM,,,,,,21150,0,21150,0,,,,,,,,,,,,,,,,,,,,,,,,,488.280592413287,488.280592413287,,,,,,,,,,,,,,,,,,,No,0,0,0,21150,0,0,0,0,0,0,0,0
A09,H2O,,,,2,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,NTC,Unknown,,HEX,,,,,,21150,0,21150,0,,,,,,,,,,,,,,,,,,,,,,,,,1445.65636195839,1445.65636195839,,,,,,,,,,,,,,,,,,,No,0,0,0,21150,0,0,0,0,0,0,0,0
B01,Positive_Control,,,,1,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,,,,,21522,0,21522,0,,,,,,,,,,,,,,,,,,,,,,,,,1669.04375089729,1669.04375089729,,,,,,,,,,,,,,,,,,,No,0,0,0,21522,0,0,0,0,0,0,0,0
B01,Positive_Control,,,,2,No Call,,CHECK,Automatic Analysis Unsuccessful,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),HEX,,,,,,21522,0,21522,0,,,,,,,,,,,,,,,,,,,,,,,,,5756.60422465602,5756.60422465602,,,,,,,,,,,,,,,,,,,No,0,0,0,21522,0,0,0,0,0,0,0,0
B02,NTC,,,,1,0.534514725208282,,OK,,DQ,NTC,Unknown,,FAM,10.6902942657471,,,0.96847015619278,0.254875779151917,21184,9,21175,0,1.49989378452301,,,2.82144803708187,0.17833946455201,2,,566.790588378906,,,,,2,0.74994687540847,,,1.41072401854093,0.0891697322760049,42.855408123942,,,64.433114679473,21.277701568411,1371.90914577908,479.893486430451,480.272458340106,,,,,0.733887434005737,0.375027418136597,,,2.1650954044596,0.834692097174281,,,1.0825477022298,0.41734604858714,,,53.7165026939745,31.9943135539094,No,0,9,12,21163,0,0,0,0,0,0,0,0
B02,NTC,,,,2,0.712736785411835,,OK,,DQ,NTC,Unknown,,HEX,14.2547359466553,,,1.19958996772766,0.379779070615768,21184,12,21172,0,,,,,,,,1542.58984375,,,,,,,,,,,,,,,,1888.34325154622,1399.20180467223,1399.47888630755,,,,,0.939174652099609,0.526020109653473,,,,,,,,,,,,,No,0,9,12,21163,0,0,0,0,0,0,0,0
B03,A1_MOI_1pg,,,,1,7595.51171875,,OK,,DQ,Unknown,Unknown,,FAM,151910.234375,,,7957.90283203125,7264.849609375,21381,21330,51,1388.62684921532,2.39820909500122,,,2.53354160777188,2.26287658993843,2,,1728.04187011719,,,,,2,1.19910454942758,,,1.26677080388594,1.13143829496922,54.526945967153,,,55.9261478586621,53.1277440756438,4607.29649908296,533.575256347656,4597.57947072229,,,,,7775.1435546875,7424.029296875,,,2.46677537794616,2.32964281976415,,,1.23338768897308,1.16482140988207,,,55.2358522614781,53.8180396728278,No,21192,138,50,1,0,0,0,0,0,0,0,0
B03,A1_MOI_1pg,,,,2,6334.31982421875,,OK,,DQ,Unknown,Unknown,,HEX,126686.3984375,,,6562.2021484375,6141.4580078125,21381,21242,139,1388.62684921532,,,,,,,,2393.48486328125,,,,,,,,,,,,,,,,5670.18379806635,1410.50038904423,5642.4911740612,,,,,6445.42822265625,6232.2333984375,,,,,,,,,,,,,No,21192,138,50,1,0,0,0,0,0,0,0,0
