Plaque,Plate,pre_post_entrapment,Diameter_cm,Phage
142,SPO1_10e7_R2,pre,0.3,SPO1
143,SPO1_10e7_R2,pre,0.3,SPO1
144,SPO1_10e7_R2,pre,0.3,SPO1
145,SPO1_10e7_R2,pre,0.3,SPO1
146,SPO1_10e7_R2,pre,0.3,SPO1
147,SPO1_10e7_R2,pre,0.3,SPO1
148,SPO1_10e7_R2,pre,0.3,SPO1
149,SPO1_10e7_R2,pre,0.3,SPO1
150,SPO1_10e7_R2,pre,0.3,SPO1
151,SPO1_10e7_R2,pre,0.3,SPO1
152,SPO1_10e7_R2,pre,0.3,SPO1
153,SPO1_10e7_R2,pre,0.3,SPO1
154,SPO1_10e7_R2,pre,0.3,SPO1
155,SPO1_10e7_R2,pre,0.3,SPO1
156,SPO1_10e7_R2,pre,0.3,SPO1
157,SPO1_10e7_R2,pre,0.3,SPO1
158,SPO1_10e7_R2,pre,0.3,SPO1
159,SPO1_10e7_R2,pre,0.2,SPO1
160,SPO1_10e7_R2,pre,0.2,SPO1
161,SPO1_10e7_R2,pre,0.2,SPO1
162,SPO1_10e7_R2,pre,0.2,SPO1
163,SPO1_10e7_R2,pre,0.2,SPO1
164,SPO1_10e7_R2,pre,0.2,SPO1
165,SPO1_10e7_R2,pre,0.2,SPO1
166,SPO1_10e7_R2,pre,0.2,SPO1
167,SPO1_10e7_R2,pre,0.2,SPO1
168,SPO1_10e7_R2,pre,0.2,SPO1
169,SPO1_10e7_R2,pre,0.2,SPO1
170,SPO1_10e7_R2,pre,0.2,SPO1
171,SPO1_10e7_R2,pre,0.2,SPO1
172,SPO1_10e7_R2,pre,0.2,SPO1
173,SPO1_10e7_R2,pre,0.2,SPO1
174,SPO1_10e7_R2,pre,0.2,SPO1
175,SPO1_10e7_R2,pre,0.2,SPO1
176,SPO1_10e7_R2,pre,0.2,SPO1
177,SPO1_10e7_R2,pre,0.2,SPO1
178,SPO1_10e7_R2,pre,0.2,SPO1
179,SPO1_10e7_R2,pre,0.2,SPO1
180,SPO1_10e7_R2,pre,0.2,SPO1
181,SPO1_10e7_R2,pre,0.2,SPO1
182,SPO1_10e7_R2,pre,0.2,SPO1
183,SPO1_10e7_R2,pre,0.2,SPO1
184,SPO1_10e7_R2,pre,0.2,SPO1
185,SPO1_10e7_R2,pre,0.2,SPO1
186,SPO1_10e7_R2,pre,0.2,SPO1
187,SPO1_10e7_R2,pre,0.2,SPO1
188,SPO1_10e7_R2,pre,0.2,SPO1
189,SPO1_10e7_R2,pre,0.2,SPO1
190,SPO1_10e7_R2,pre,0.2,SPO1
191,SPO1_10e7_R2,pre,0.2,SPO1
192,SPO1_10e7_R2,pre,0.2,SPO1
193,SPO1_10e7_R2,pre,0.2,SPO1
194,SPO1_10e7_R2,pre,0.2,SPO1
195,SPO1_10e7_R2,pre,0.2,SPO1
196,SPO1_10e7_R2,pre,0.2,SPO1
197,SPO1_10e7_R2,pre,0.2,SPO1
198,SPO1_10e7_R2,pre,0.2,SPO1
199,SPO1_10e7_R2,pre,0.2,SPO1
200,SPO1_10e7_R2,pre,0.1,SPO1
201,SPO1_10e7_R2,pre,0.1,SPO1
202,SPO1_10e7_R2,pre,0.1,SPO1
203,SPO1_10e7_R2,pre,0.1,SPO1
204,SPO1_10e7_R2,pre,0.1,SPO1
205,SPO1_10e7_R2,pre,0.1,SPO1
206,SPO1_10e7_R2,pre,0.1,SPO1
207,SPO1_10e7_R2,pre,0.1,SPO1
208,SPO1_10e7_R2,pre,0.1,SPO1
209,SPO1_10e7_R2,pre,0.1,SPO1
210,SPO1_10e7_R2,pre,0.1,SPO1
211,SPO1_10e7_R2,pre,0.1,SPO1
212,SPO1_10e7_R2,pre,0.1,SPO1
213,SPO1_10e7_R2,pre,0.1,SPO1
214,SPO1_10e7_R2,pre,0.1,SPO1
215,SPO1_10e7_R2,pre,0.1,SPO1
216,SPO1_10e7_R2,pre,0.1,SPO1
217,SPO1_10e7_R2,pre,0.1,SPO1
218,SPO1_10e7_R2,pre,0.1,SPO1
219,SPO1_10e7_R2,pre,0.1,SPO1
220,SPO1_10e7_R2,pre,0.1,SPO1
221,SPO1_10e7_R2,pre,0.1,SPO1
222,SPO1_10e7_R2,pre,0.1,SPO1
223,SPO1_10e7_R2,pre,0.1,SPO1
224,SPO1_10e7_R2,pre,0.1,SPO1
225,SPO1_10e7_R2,pre,0.1,SPO1
226,SPO1_10e7_R2,pre,0.1,SPO1
227,SPO1_10e7_R2,pre,0.1,SPO1
228,,post,0.05,SPO1
229,,post,0.05,SPO1
230,,post,0.05,SPO1
231,,post,0.05,SPO1
232,,post,0.05,SPO1
233,,post,0.05,SPO1
234,,post,0.05,SPO1
235,,post,0.05,SPO1
236,,post,0.05,SPO1
237,,post,0.05,SPO1
238,,post,0.05,SPO1
239,,post,0.05,SPO1
240,,post,0.05,SPO1
241,,post,0.05,SPO1
242,,post,0.05,SPO1
243,,post,0.05,SPO1
244,,post,0.05,SPO1
245,,post,0.05,SPO1
246,,post,0.05,SPO1
247,,post,0.05,SPO1
248,,post,0.05,SPO1
249,,post,0.05,SPO1
250,,post,0.05,SPO1
251,,post,0.05,SPO1
252,,post,0.05,SPO1
253,,post,0.05,SPO1
254,,post,0.05,SPO1
255,,post,0.05,SPO1
256,,post,0.05,SPO1
257,,post,0.05,SPO1
258,,post,0.05,SPO1
259,,post,0.05,SPO1
260,,post,0.05,SPO1
261,,post,0.05,SPO1
262,,post,0.05,SPO1
263,,post,0.05,SPO1
264,,post,0.05,SPO1
265,,post,0.05,SPO1
266,,post,0.05,SPO1
267,,post,0.05,SPO1
268,,post,0.05,SPO1
269,,post,0.05,SPO1
270,,post,0.05,SPO1
271,,post,0.05,SPO1
272,,post,0.05,SPO1
273,,post,0.05,SPO1
274,,post,0.05,SPO1
275,,post,0.05,SPO1
276,,post,0.05,SPO1
277,,post,0.05,SPO1
278,,post,0.05,SPO1
279,,post,0.05,SPO1
280,,post,0.05,SPO1
281,,post,0.05,SPO1
282,,post,0.05,SPO1
283,,post,0.05,SPO1
284,,post,0.05,SPO1
285,,post,0.05,SPO1
286,,post,0.05,SPO1
287,,post,0.05,SPO1
288,,post,0.05,SPO1
289,,post,0.05,SPO1
290,,post,0.05,SPO1
291,,post,0.05,SPO1
292,,post,0.05,SPO1
293,,post,0.05,SPO1
294,,post,0.05,SPO1
295,,post,0.05,SPO1
296,,post,0.05,SPO1
297,,post,0.05,SPO1
298,,post,0.05,SPO1
299,,post,0.05,SPO1
300,,post,0.05,SPO1
301,,post,0.05,SPO1
302,,post,0.05,SPO1
303,,post,0.05,SPO1
304,,post,0.05,SPO1
305,,post,0.05,SPO1
306,,post,0.1,SPO1
307,,post,0.1,SPO1
308,,post,0.1,SPO1
309,,post,0.1,SPO1
310,,post,0.1,SPO1
311,,post,0.1,SPO1
312,,post,0.1,SPO1
313,,post,0.1,SPO1
314,,post,0.1,SPO1
315,,post,0.1,SPO1
316,,post,0.1,SPO1
317,,post,0.1,SPO1
318,,post,0.1,SPO1
319,,post,0.1,SPO1
320,,post,0.1,SPO1
321,,post,0.1,SPO1
322,,post,0.1,SPO1
323,,post,0.1,SPO1
324,,post,0.1,SPO1
325,,post,0.1,SPO1
326,,post,0.1,SPO1
327,,post,0.1,SPO1
328,,post,0.1,SPO1
329,,post,0.1,SPO1
330,,post,0.1,SPO1
331,,post,0.1,SPO1
332,,post,0.1,SPO1
333,,post,0.1,SPO1
334,,post,0.1,SPO1
335,,post,0.1,SPO1
336,,post,0.1,SPO1
337,,post,0.1,SPO1
338,,post,0.1,SPO1
339,,post,0.1,SPO1
340,,post,0.1,SPO1
341,,post,0.1,SPO1
342,,post,0.1,SPO1
343,,post,0.1,SPO1
344,,post,0.1,SPO1
345,,post,0.1,SPO1
346,,post,0.1,SPO1
347,,post,0.1,SPO1
348,,post,0.1,SPO1
349,,post,0.1,SPO1
350,,post,0.1,SPO1
351,,post,0.1,SPO1
352,,post,0.1,SPO1
353,,post,0.1,SPO1
354,,post,0.1,SPO1
355,,post,0.1,SPO1
356,,post,0.1,SPO1
357,,post,0.1,SPO1
358,,post,0.1,SPO1
359,,post,0.1,SPO1
360,,post,0.1,SPO1
361,,post,0.1,SPO1
362,,post,0.1,SPO1
363,,post,0.1,SPO1
364,,post,0.1,SPO1
365,,post,0.1,SPO1
366,,post,0.1,SPO1
367,,post,0.1,SPO1
368,,post,0.1,SPO1
369,,post,0.1,SPO1
370,,post,0.1,SPO1
371,,post,0.1,SPO1
372,,post,0.1,SPO1
373,,post,0.1,SPO1
374,,post,0.1,SPO1
375,,post,0.1,SPO1
376,,post,0.1,SPO1
377,,post,0.1,SPO1
378,,post,0.1,SPO1
379,,post,0.1,SPO1
380,,post,0.1,SPO1
381,,post,0.1,SPO1
382,,post,0.1,SPO1
383,,post,0.1,SPO1
384,,post,0.1,SPO1
385,,post,0.1,SPO1
386,,post,0.1,SPO1
387,,post,0.1,SPO1
388,,post,0.2,SPO1
389,,post,0.2,SPO1
390,,post,0.2,SPO1
391,,post,0.2,SPO1
392,,post,0.2,SPO1
393,,post,0.2,SPO1
394,,post,0.2,SPO1
395,,post,0.2,SPO1
396,,post,0.2,SPO1
397,,post,0.2,SPO1
398,,post,0.2,SPO1
399,,post,0.2,SPO1
400,,post,0.2,SPO1
401,,post,0.2,SPO1
402,,post,0.2,SPO1
403,,post,0.2,SPO1
404,,post,0.2,SPO1
405,,post,0.2,SPO1
406,,post,0.2,SPO1
407,,post,0.2,SPO1
408,,post,0.2,SPO1
409,,post,0.2,SPO1
410,,post,0.2,SPO1
411,,post,0.2,SPO1
412,,post,0.2,SPO1
413,,post,0.2,SPO1
414,,post,0.2,SPO1
415,,post,0.2,SPO1
416,,post,0.2,SPO1
417,,post,0.2,SPO1
418,,post,0.2,SPO1
419,,post,0.2,SPO1
420,,post,0.2,SPO1
421,,post,0.2,SPO1
422,,post,0.2,SPO1
423,,post,0.2,SPO1
424,,post,0.2,SPO1
425,,post,0.2,SPO1
426,,post,0.2,SPO1
427,,post,0.2,SPO1
428,,post,0.2,SPO1
429,,post,0.2,SPO1
430,,post,0.2,SPO1
431,,post,0.2,SPO1
432,,post,0.2,SPO1
433,,post,0.2,SPO1
434,,post,0.2,SPO1
435,,post,0.2,SPO1
436,,post,0.2,SPO1
437,,post,0.2,SPO1
438,,post,0.2,SPO1
439,,post,0.2,SPO1
440,,post,0.2,SPO1
441,,post,0.2,SPO1
442,,post,0.2,SPO1
443,,post,0.2,SPO1
444,,post,0.2,SPO1
445,,post,0.2,SPO1
446,,post,0.2,SPO1
447,,post,0.2,SPO1
448,,post,0.2,SPO1
449,,post,0.2,SPO1
450,,post,0.2,SPO1
451,,post,0.2,SPO1
452,,post,0.2,SPO1
453,,post,0.2,SPO1
454,,post,0.2,SPO1
455,,post,0.2,SPO1
456,,post,0.2,SPO1
457,,post,0.2,SPO1
458,,post,0.2,SPO1
459,,post,0.2,SPO1
460,,post,0.2,SPO1
461,,post,0.2,SPO1
462,,post,0.2,SPO1
463,,post,0.2,SPO1
464,,post,0.2,SPO1
465,,post,0.2,SPO1
466,,post,0.2,SPO1
467,,post,0.2,SPO1
468,,post,0.2,SPO1
469,,post,0.2,SPO1
470,,post,0.2,SPO1
471,,post,0.2,SPO1
472,,post,0.2,SPO1
473,,post,0.2,SPO1
474,,post,0.2,SPO1
475,,post,0.2,SPO1
476,,post,0.2,SPO1
