Plaque,Plate,pre_post_entrapment,Diameter_cm,Phage
1,SPO1_10e8_R1,pre,0.3,SPO1
2,SPO1_10e8_R1,pre,0.3,SPO1
3,SPO1_10e8_R1,pre,0.3,SPO1
4,SPO1_10e8_R1,pre,0.2,SPO1
5,SPO1_10e8_R1,pre,0.2,SPO1
6,SPO1_10e8_R1,pre,0.2,SPO1
7,SPO1_10e8_R1,pre,0.2,SPO1
8,SPO1_10e8_R1,pre,0.1,SPO1
9,SPO1_10e8_R2,pre,0.3,SPO1
10,SPO1_10e8_R2,pre,0.3,SPO1
11,SPO1_10e8_R2,pre,0.3,SPO1
12,SPO1_10e8_R2,pre,0.3,SPO1
13,SPO1_10e8_R2,pre,0.3,SPO1
14,SPO1_10e8_R2,pre,0.3,SPO1
15,SPO1_10e8_R2,pre,0.3,SPO1
16,SPO1_10e8_R2,pre,0.3,SPO1
17,SPO1_10e8_R2,pre,0.3,SPO1
18,SPO1_10e8_R2,pre,0.2,SPO1
19,SPO1_10e8_R2,pre,0.2,SPO1
20,SPO1_10e8_R2,pre,0.2,SPO1
21,SPO1_10e8_R2,pre,0.1,SPO1
22,SPO1_10e8_R2,pre,0.1,SPO1
23,SPO1_10e7_R1,pre,0.3,SPO1
24,SPO1_10e7_R1,pre,0.3,SPO1
25,SPO1_10e7_R1,pre,0.3,SPO1
26,SPO1_10e7_R1,pre,0.3,SPO1
27,SPO1_10e7_R1,pre,0.3,SPO1
28,SPO1_10e7_R1,pre,0.3,SPO1
29,SPO1_10e7_R1,pre,0.3,SPO1
30,SPO1_10e7_R1,pre,0.3,SPO1
31,SPO1_10e7_R1,pre,0.3,SPO1
32,SPO1_10e7_R1,pre,0.3,SPO1
33,SPO1_10e7_R1,pre,0.3,SPO1
34,SPO1_10e7_R1,pre,0.3,SPO1
35,SPO1_10e7_R1,pre,0.3,SPO1
36,SPO1_10e7_R1,pre,0.3,SPO1
37,SPO1_10e7_R1,pre,0.3,SPO1
38,SPO1_10e7_R1,pre,0.3,SPO1
39,SPO1_10e7_R1,pre,0.3,SPO1
40,SPO1_10e7_R1,pre,0.3,SPO1
41,SPO1_10e7_R1,pre,0.3,SPO1
42,SPO1_10e7_R1,pre,0.3,SPO1
43,SPO1_10e7_R1,pre,0.3,SPO1
44,SPO1_10e7_R1,pre,0.3,SPO1
45,SPO1_10e7_R1,pre,0.3,SPO1
46,SPO1_10e7_R1,pre,0.3,SPO1
47,SPO1_10e7_R1,pre,0.3,SPO1
48,SPO1_10e7_R1,pre,0.3,SPO1
49,SPO1_10e7_R1,pre,0.3,SPO1
50,SPO1_10e7_R1,pre,0.3,SPO1
51,SPO1_10e7_R1,pre,0.3,SPO1
52,SPO1_10e7_R1,pre,0.3,SPO1
53,SPO1_10e7_R1,pre,0.3,SPO1
54,SPO1_10e7_R1,pre,0.3,SPO1
55,SPO1_10e7_R1,pre,0.3,SPO1
56,SPO1_10e7_R1,pre,0.3,SPO1
57,SPO1_10e7_R1,pre,0.3,SPO1
58,SPO1_10e7_R1,pre,0.3,SPO1
59,SPO1_10e7_R1,pre,0.3,SPO1
60,SPO1_10e7_R1,pre,0.3,SPO1
61,SPO1_10e7_R1,pre,0.3,SPO1
62,SPO1_10e7_R1,pre,0.3,SPO1
63,SPO1_10e7_R1,pre,0.3,SPO1
64,SPO1_10e7_R1,pre,0.2,SPO1
65,SPO1_10e7_R1,pre,0.2,SPO1
66,SPO1_10e7_R1,pre,0.2,SPO1
67,SPO1_10e7_R1,pre,0.2,SPO1
68,SPO1_10e7_R1,pre,0.2,SPO1
69,SPO1_10e7_R1,pre,0.2,SPO1
70,SPO1_10e7_R1,pre,0.2,SPO1
71,SPO1_10e7_R1,pre,0.2,SPO1
72,SPO1_10e7_R1,pre,0.2,SPO1
73,SPO1_10e7_R1,pre,0.2,SPO1
74,SPO1_10e7_R1,pre,0.2,SPO1
75,SPO1_10e7_R1,pre,0.2,SPO1
76,SPO1_10e7_R1,pre,0.2,SPO1
77,SPO1_10e7_R1,pre,0.2,SPO1
78,SPO1_10e7_R1,pre,0.2,SPO1
79,SPO1_10e7_R1,pre,0.2,SPO1
80,SPO1_10e7_R1,pre,0.2,SPO1
81,SPO1_10e7_R1,pre,0.2,SPO1
82,SPO1_10e7_R1,pre,0.2,SPO1
83,SPO1_10e7_R1,pre,0.2,SPO1
84,SPO1_10e7_R1,pre,0.2,SPO1
85,SPO1_10e7_R1,pre,0.2,SPO1
86,SPO1_10e7_R1,pre,0.2,SPO1
87,SPO1_10e7_R1,pre,0.2,SPO1
88,SPO1_10e7_R1,pre,0.2,SPO1
89,SPO1_10e7_R1,pre,0.2,SPO1
90,SPO1_10e7_R1,pre,0.2,SPO1
91,SPO1_10e7_R1,pre,0.2,SPO1
92,SPO1_10e7_R1,pre,0.2,SPO1
93,SPO1_10e7_R1,pre,0.2,SPO1
94,SPO1_10e7_R1,pre,0.2,SPO1
95,SPO1_10e7_R1,pre,0.2,SPO1
96,SPO1_10e7_R1,pre,0.2,SPO1
97,SPO1_10e7_R1,pre,0.2,SPO1
98,SPO1_10e7_R1,pre,0.2,SPO1
99,SPO1_10e7_R1,pre,0.2,SPO1
100,SPO1_10e7_R1,pre,0.2,SPO1
101,SPO1_10e7_R1,pre,0.2,SPO1
102,SPO1_10e7_R1,pre,0.2,SPO1
103,SPO1_10e7_R1,pre,0.2,SPO1
104,SPO1_10e7_R1,pre,0.1,SPO1
105,SPO1_10e7_R1,pre,0.1,SPO1
106,SPO1_10e7_R1,pre,0.1,SPO1
107,SPO1_10e7_R1,pre,0.1,SPO1
108,SPO1_10e7_R1,pre,0.1,SPO1
109,SPO1_10e7_R1,pre,0.1,SPO1
110,SPO1_10e7_R1,pre,0.1,SPO1
111,SPO1_10e7_R1,pre,0.1,SPO1
112,SPO1_10e7_R1,pre,0.1,SPO1
113,SPO1_10e7_R1,pre,0.1,SPO1
114,SPO1_10e7_R1,pre,0.1,SPO1
115,SPO1_10e7_R1,pre,0.1,SPO1
116,SPO1_10e7_R1,pre,0.1,SPO1
117,SPO1_10e7_R1,pre,0.1,SPO1
118,SPO1_10e7_R1,pre,0.1,SPO1
119,SPO1_10e7_R1,pre,0.1,SPO1
120,SPO1_10e7_R1,pre,0.1,SPO1
121,SPO1_10e7_R1,pre,0.1,SPO1
122,SPO1_10e7_R2,pre,0.3,SPO1
123,SPO1_10e7_R2,pre,0.3,SPO1
124,SPO1_10e7_R2,pre,0.3,SPO1
125,SPO1_10e7_R2,pre,0.3,SPO1
126,SPO1_10e7_R2,pre,0.3,SPO1
127,SPO1_10e7_R2,pre,0.3,SPO1
128,SPO1_10e7_R2,pre,0.3,SPO1
129,SPO1_10e7_R2,pre,0.3,SPO1
130,SPO1_10e7_R2,pre,0.3,SPO1
131,SPO1_10e7_R2,pre,0.3,SPO1
132,SPO1_10e7_R2,pre,0.3,SPO1
133,SPO1_10e7_R2,pre,0.3,SPO1
134,SPO1_10e7_R2,pre,0.3,SPO1
135,SPO1_10e7_R2,pre,0.3,SPO1
136,SPO1_10e7_R2,pre,0.3,SPO1
137,SPO1_10e7_R2,pre,0.3,SPO1
138,SPO1_10e7_R2,pre,0.3,SPO1
139,SPO1_10e7_R2,pre,0.3,SPO1
140,SPO1_10e7_R2,pre,0.3,SPO1
141,SPO1_10e7_R2,pre,0.3,SPO1
